Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
Netherlands,2017,Hyundai,"$40,762 ",4322.0,18.16,77671.0,PHEV,20870.0,yes
Norway,2017,Chevrolet,"$35,078 ",2933.0,17.19,61367.0,BEV,56129.0,No
France,2018,Volkswagen,"$28,678 ",4144.0,13.6,115866.0,BEV,5748.0,YES
Netherlands,2017,Ford,"$21,733 ",1253.0,17.57,53088.0,PHEV,56771.0,no
France,2022,Ford,"$13,616 ",904.0,19.83,66840.0,PHEV,40298.0,no
Netherlands,2022,Renault,"$43,456 ",4295.0,12.61,72472.0,PHEV,24960.0,YES
Japan,2020,Chevrolet,"$34,091 ",938.0,7.48,102732.0,BEV,37395.0,no
UK,2016,Nissan,"$46,240 ",1862.0,10.36,67799.0,PHEV,62642.0,no
USA,2020,BYD,"$11,503 ",1260.0,21.17,84229.0,HEV,18640.0,No
Netherlands,2015,BYD,"$38,913 ",3496.0,29.88,108779.0,BEV,20087.0,Yes
Canada,2023,Chevrolet,"$30,203 ",1155.0,6.46,92732.0,HEV,32921.0,yes
China,2020,Nissan,"$33,807 ",2789.0,11.45,39642.0,HEV,21159.0,yes
Norway,2019,BYD,"$49,907 ",4814.0,18.79,116452.0,PHEV,59141.0,No
Canada,2019,BYD,"$24,293 ",4982.0,5.78,26308.0,HEV,62813.0,Yes
China,2020,Hyundai,"$39,257 ",1470.0,17.97,109429.0,HEV,11916.0,No
Japan,2022,Chevrolet,"$22,449 ",4554.0,20.48,115642.0,PHEV,37187.0,No
USA,2016,Chevrolet,"$47,698 ",1584.0,20.48,106715.0,BEV,62877.0,YES
India,2018,Chevrolet,"$43,625 ",780.0,16.08,81756.0,PHEV,43944.0,YES
USA,2022,Chevrolet,"$43,308 ",4729.0,14.92,59562.0,PHEV,45238.0,no
Japan,2021,Renault,"$1,752 ",3991.0,21.42,56434.0,PHEV,60494.0,yes
Netherlands,2021,Nissan,"$7,441 ",1368.0,13.69,70327.0,BEV,76745.0,YES
Japan,2019,Chevrolet,"$5,137 ",4864.0,16.18,49225.0,BEV,40811.0,yes
Canada,2018,Hyundai,"$49,789 ",3482.0,15.27,70752.0,HEV,56123.0,YES
China,2021,Hyundai,"$37,432 ",2603.0,19.0,44001.0,PHEV,70836.0,Yes
Norway,2022,Chevrolet,"$39,537 ",3828.0,17.81,85539.0,PHEV,7254.0,no
India,2024,Hyundai,"$17,644 ",3455.0,21.23,76887.0,HEV,42240.0,yes
UK,2024,BMW,"$18,771 ",3276.0,15.94,95468.0,HEV,29732.0,YES
Netherlands,2022,Volkswagen,"$11,814 ",4709.0,11.08,35875.0,HEV,40749.0,Yes
France,2015,Renault,"$39,644 ",533.0,6.98,92389.0,PHEV,24624.0,no
USA,2017,Chevrolet,"$23,821 ",2306.0,14.95,68042.0,BEV,11478.0,no
Norway,2019,Ford,"$45,662 ",2888.0,11.94,51094.0,PHEV,65291.0,yes
Japan,2020,Renault,"$14,068 ",2065.0,22.7,65496.0,PHEV,1302.0,YES
Norway,2017,BMW,"$17,522 ",65.0,15.05,47221.0,BEV,74686.0,no
India,2023,BMW,"$2,625 ",3297.0,21.89,8246.0,BEV,16034.0,No
UK,2020,Renault,"$46,891 ",4988.0,21.69,65921.0,BEV,56658.0,no
India,2020,BMW,"$39,138 ",1541.0,4.11,129007.0,HEV,35674.0,Yes
Norway,2019,Renault,"$30,426 ",135.0,4.47,35022.0,HEV,7168.0,No
Japan,2019,Volkswagen,"$43,063 ",76.0,19.82,70797.0,BEV,7371.0,no
India,2024,Ford,"$23,775 ",2482.0,10.79,109434.0,BEV,55553.0,No
India,2016,BMW,"$48,947 ",1771.0,8.09,126037.0,PHEV,18260.0,YES
Japan,2023,Nissan,"$47,545 ",3822.0,28.08,75830.0,BEV,2605.0,yes
USA,2023,Chevrolet,"$6,122 ",2573.0,25.67,83247.0,BEV,14918.0,No
Canada,2022,Tesla,"$20,619 ",2880.0,25.43,46437.0,PHEV,5324.0,yes
India,2021,Volkswagen,"$38,610 ",15.0,12.54,119189.0,BEV,29746.0,no
UK,2021,BYD,"$22,850 ",655.0,29.28,108321.0,HEV,14234.0,YES
France,2015,Tesla,"$38,828 ",4299.0,17.15,119067.0,PHEV,47514.0,no
USA,2018,Tesla,"$49,876 ",4637.0,8.03,118460.0,PHEV,79477.0,yes
Netherlands,2020,Ford,"$45,875 ",1583.0,17.86,67493.0,HEV,33254.0,YES
USA,2023,Ford,"$40,256 ",2036.0,18.22,100639.0,HEV,66545.0,no
UK,2021,Volkswagen,"$17,144 ",1683.0,29.71,23431.0,PHEV,35387.0,No
France,2021,Nissan,"$36,798 ",2645.0,12.0,43213.0,HEV,37159.0,yes
China,2022,Hyundai,"$44,425 ",3653.0,25.41,53432.0,BEV,42832.0,yes
UK,2019,Volkswagen,"$31,023 ",1324.0,5.76,51305.0,BEV,24930.0,yes
Japan,2022,Volkswagen,$577 ,2631.0,11.41,15637.0,HEV,44303.0,YES
Germany,2018,Nissan,"$46,058 ",4043.0,16.76,83513.0,HEV,5018.0,no
Germany,2016,Renault,"$27,702 ",1212.0,10.71,116189.0,PHEV,57819.0,Yes
Netherlands,2022,BMW,"$15,874 ",2045.0,22.5,17796.0,BEV,52356.0,No
France,2024,Volkswagen,"$11,289 ",1130.0,21.5,44443.0,HEV,3336.0,no
Netherlands,2021,Hyundai,"$32,765 ",4622.0,26.43,77637.0,BEV,47197.0,no
China,2016,Tesla,"$41,131 ",3238.0,16.66,56513.0,PHEV,4756.0,YES
USA,2016,Hyundai,"$21,109 ",104.0,18.35,97792.0,HEV,72315.0,no
Canada,2018,Ford,"$12,798 ",3335.0,27.35,90123.0,HEV,13999.0,Yes
India,2022,BYD Inc,"$1,314 ",355.0,28.47,4757.0,PHEV,76993.0,Yes
UK,2020,Ford,"$10,880 ",3015.0,3.92,27208.0,PHEV,57942.0,YES
France,2022,Hyundai,"$26,715 ",837.0,18.2,67630.0,BEV,38219.0,YES
India,2021,Hyundai,"$15,843 ",2945.0,1.67,16969.0,BEV,53329.0,Yes
France,2022,BMW,"$28,132 ",613.0,11.86,84308.0,HEV,45327.0,yes
UK,2021,BYD,"$3,868 ",3807.0,27.41,39428.0,PHEV,77589.0,no
Norway,2023,Ford,"$22,616 ",3486.0,5.8,71139.0,HEV,20256.0,YES
Norway,2019,Hyundai,"$10,024 ",211.0,24.28,108969.0,PHEV,14224.0,no
China,2015,Hyundai,"$41,238 ",584.0,13.02,115747.0,HEV,9577.0,YES
China,2019,Renault,"$5,799 ",4815.0,1.98,53039.0,HEV,38148.0,yes
India,2024,Ford,"$29,234 ",4767.0,7.38,46475.0,BEV,28696.0,No
Germany,2024,Kia,"$5,444 ",3442.0,5.31,59297.0,PHEV,25917.0,YES
Japan,2024,Renault,"$24,942 ",961.0,27.04,28021.0,HEV,3717.0,YES
Japan,2023,Nissan,"$28,452 ",4534.0,11.95,102299.0,PHEV,19449.0,no
China,2022,BYD,"$34,036 ",3067.0,16.21,73036.0,BEV,27737.0,no
France,2018,Tesla,"$11,985 ",956.0,5.5,68153.0,HEV,53487.0,yes
Canada,2016,Volkswagen,"$12,842 ",4905.0,8.9,89471.0,PHEV,53603.0,No
France,2021,Renault,"$47,690 ",64.0,5.53,134072.0,BEV,77534.0,Yes
Norway,2022,Renault,"$47,563 ",2500.0,15.66,122618.0,PHEV,57373.0,yes
UK,2018,Kia,"$31,980 ",3320.0,17.51,72966.0,BEV,25160.0,no
USA,2015,BYD,"$20,559 ",3064.0,21.9,95065.0,HEV,35911.0,Yes
China,2021,Volkswagen,"$17,827 ",4435.0,3.48,21025.0,PHEV,61500.0,yes
Germany,2017,BYD,"$20,579 ",3462.0,26.42,72039.0,HEV,32419.0,No
Japan,2018,BYD,"$9,205 ",1930.0,24.71,98160.0,BEV,16358.0,No
France,2021,BMW,"$34,072 ",1289.0,17.01,97588.0,HEV,8083.0,no
USA,2020,Hyundai,"$44,361 ",1397.0,5.06,93646.0,BEV,20063.0,no
UK,2016,Chevrolet,"$29,029 ",3196.0,15.86,108373.0,HEV,36367.0,No
China,2019,Kia,"$37,301 ",246.0,12.67,62053.0,HEV,56029.0,YES
USA,2022,Ford Inc,"$27,165 ",50.0,8.95,68117.0,BEV,23180.0,No
UK,2018,Hyundai,"$41,260 ",655.0,22.23,138783.0,BEV,47828.0,YES
France,2023,Tesla,"$48,424 ",464.0,17.63,61088.0,PHEV,36737.0,YES
India,2024,BMW,"$36,296 ",4807.0,16.05,123441.0,HEV,39709.0,No
UK,2019,BYD,"$12,055 ",4899.0,2.98,66057.0,BEV,73355.0,yes
Germany,2018,BMW,"$31,963 ",1260.0,28.53,86265.0,PHEV,24150.0,no
France,2017,Ford,"$3,211 ",4863.0,4.92,93610.0,BEV,22792.0,No
China,2016,Volkswagen,"$40,983 ",760.0,8.61,109281.0,HEV,32987.0,No
Norway,2016,Tesla,"$34,508 ",70.0,20.96,90845.0,PHEV,14350.0,no
France,2017,BMW,"$24,854 ",4236.0,3.26,111977.0,PHEV,76186.0,no
USA,2016,BMW,"$20,433 ",4207.0,18.12,72907.0,PHEV,70626.0,YES
India,2015,Renault,"$20,991 ",1351.0,28.79,22329.0,HEV,72431.0,No
USA,2018,Ford,"$12,754 ",2718.0,23.01,68510.0,PHEV,68957.0,yes
Norway,2024,Ford,"$40,387 ",719.0,29.44,97148.0,BEV,63552.0,yes
Norway,2015,Tesla,"$38,141 ",4816.0,29.98,126974.0,BEV,57276.0,Yes
UK,2024,BYD,"$20,041 ",4355.0,10.07,58239.0,PHEV,9820.0,no
Canada,2024,Hyundai,"$24,570 ",4242.0,6.59,99113.0,BEV,42786.0,No
Netherlands,2021,Ford,"$29,898 ",1510.0,14.75,85135.0,BEV,52571.0,Yes
UK,2020,Chevrolet,"$31,407 ",140.0,21.19,35390.0,PHEV,21662.0,No
USA,2019,Tesla,"$24,010 ",4469.0,17.6,119081.0,PHEV,7640.0,Yes
China,2020,Ford,"$45,047 ",930.0,22.4,140270.0,HEV,75859.0,no
France,2018,Kia,"$15,729 ",3531.0,1.71,69122.0,HEV,67081.0,Yes
China,2020,Chevrolet,"$8,936 ",4853.0,19.2,95367.0,PHEV,59606.0,no
Netherlands,2017,BYD,"$3,930 ",4445.0,22.39,37663.0,PHEV,3050.0,no
France,2017,Ford,"$44,960 ",1175.0,9.61,80761.0,PHEV,56619.0,YES
Japan,2015,Ford,"$33,413 ",4398.0,2.22,125229.0,HEV,36400.0,Yes
China,2019,Chevrolet,"$4,994 ",973.0,7.33,48995.0,PHEV,68364.0,No
Netherlands,2021,Tesla,"$45,528 ",948.0,18.07,47334.0,PHEV,57638.0,yes
India,2019,BMW,"$41,470 ",1878.0,29.69,66732.0,PHEV,63211.0,no
UK,2024,BYD,"$49,488 ",894.0,25.09,84645.0,BEV,78129.0,yes
USA,2018,Tesla,"$44,013 ",3855.0,24.22,118794.0,PHEV,73750.0,no
USA,2018,Hyundai,"$1,226 ",2746.0,16.03,64709.0,PHEV,19297.0,No
India,2019,Kia,"$29,331 ",4079.0,19.07,63991.0,PHEV,76758.0,YES
Canada,2020,Chevrolet,"$37,943 ",1943.0,25.94,56617.0,HEV,24874.0,yes
USA,2022,BMW,"$18,102 ",1365.0,2.03,65644.0,PHEV,43520.0,No
Canada,2022,Hyundai,"$16,085 ",993.0,8.33,86754.0,HEV,22754.0,no
Canada,2017,Hyundai,"$4,472 ",923.0,3.35,15375.0,HEV,4020.0,yes
Japan,2016,Renault,"$42,255 ",4046.0,29.75,52771.0,BEV,3396.0,YES
Canada,2019,Kia,"$19,046 ",2755.0,17.57,31349.0,BEV,31561.0,no
Netherlands,2019,Volkswagen,"$32,588 ",1726.0,20.72,119794.0,BEV,70274.0,yes
USA,2019,Kia,"$37,009 ",1584.0,5.66,56796.0,HEV,49845.0,Yes
India,2016,BYD,"$27,088 ",1557.0,1.19,115351.0,PHEV,61461.0,no
Netherlands,2019,BYD,"$22,236 ",1257.0,25.36,24671.0,PHEV,27660.0,no
Japan,2017,Ford,"$7,991 ",4836.0,5.82,89386.0,PHEV,64888.0,No
UK,2022,Tesla,"$8,573 ",895.0,11.03,30526.0,BEV,77919.0,YES
Netherlands,2015,Tesla,"$25,360 ",4821.0,22.74,113626.0,HEV,22427.0,no
India,2015,Chevrolet,"$35,696 ",2517.0,1.71,80760.0,BEV,8813.0,YES
India,2023,Chevrolet,"$27,582 ",4675.0,1.03,40327.0,BEV,27029.0,no
China,2015,Volkswagen,"$24,150 ",48.0,16.28,101082.0,PHEV,18482.0,No
Netherlands,2017,Volkswagen,"$44,913 ",3521.0,13.54,99181.0,BEV,40214.0,YES
India,2021,Hyundai,"$16,835 ",4974.0,19.52,66736.0,PHEV,64416.0,yes
Norway,2023,Nissan,"$32,696 ",4675.0,26.93,53678.0,BEV,77961.0,No
Norway,2016,Hyundai,"$2,480 ",1865.0,26.18,86191.0,HEV,27385.0,YES
France,2023,BMW,"$6,276 ",3686.0,23.52,81594.0,HEV,31707.0,yes
India,2018,Ford,"$39,610 ",4454.0,4.81,46265.0,PHEV,45859.0,YES
UK,2023,Chevrolet,"$39,065 ",1026.0,5.66,45174.0,PHEV,50268.0,No
Japan,2023,Tesla,"$35,701 ",593.0,10.0,122409.0,BEV,61112.0,Yes
France,2021,BYD,"$22,304 ",738.0,25.94,43885.0,BEV,53648.0,Yes
Japan,2020,Tesla,"$30,587 ",788.0,14.93,77754.0,BEV,76304.0,yes
China,2020,Chevrolet,"$49,090 ",601.0,14.99,146437.0,BEV,49787.0,no
Japan,2017,Chevrolet,"$35,988 ",723.0,23.5,98669.0,BEV,64483.0,No
Norway,2018,Kia,"$43,701 ",99.0,20.99,126606.0,HEV,69577.0,Yes
France,2016,BMW,"$6,590 ",326.0,21.49,9515.0,HEV,27015.0,YES
Norway,2021,Volkswagen,"$33,820 ",725.0,26.26,61109.0,BEV,4389.0,yes
Netherlands,2018,Tesla,"$12,153 ",3395.0,23.73,46815.0,HEV,57446.0,no
India,2017,Renault,"$21,788 ",4979.0,13.72,38101.0,HEV,73715.0,YES
Germany,2022,Volkswagen,"$10,826 ",3605.0,5.63,90974.0,BEV,27745.0,yes
France,2016,BMW,"$32,390 ",3648.0,14.64,103706.0,PHEV,29380.0,no
Norway,2016,Chevrolet,"$45,162 ",2366.0,20.1,136061.0,HEV,21049.0,no
China,2023,BMW Inc,"$10,681 ",671.0,10.64,14601.0,PHEV,61315.0,no
Germany,2022,Volkswagen,"$14,525 ",764.0,20.73,31834.0,BEV,56230.0,Yes
Germany,2017,Chevrolet,"$1,456 ",2081.0,13.34,80795.0,BEV,26963.0,no
USA,2019,BYD,"$36,721 ",965.0,2.16,118539.0,BEV,5703.0,YES
USA,2018,Chevrolet,"$44,085 ",2392.0,27.12,90435.0,HEV,13201.0,YES
USA,2023,Kia,"$48,864 ",539.0,19.32,134742.0,BEV,58056.0,YES
USA,2021,Nissan,"$13,265 ",3379.0,7.89,102662.0,HEV,50153.0,yes
Norway,2024,BMW,"$33,642 ",2350.0,25.78,39290.0,HEV,36133.0,YES
India,2024,Hyundai,"$31,023 ",4486.0,13.91,102158.0,HEV,36046.0,No
China,2016,BMW,"$36,484 ",2948.0,10.05,105133.0,BEV,65674.0,YES
France,2023,Tesla,"$36,642 ",3476.0,26.63,71039.0,HEV,77367.0,YES
China,2023,BMW,"$6,776 ",2370.0,5.84,79411.0,HEV,36946.0,No
Japan,2022,Ford,"$6,616 ",2222.0,23.67,17463.0,BEV,27155.0,No
Norway,2023,Chevrolet,"$14,635 ",2213.0,26.06,33944.0,BEV,1619.0,yes
Japan,2020,Hyundai,"$18,158 ",966.0,1.99,100695.0,BEV,67504.0,no
France,2019,Nissan,"$48,114 ",1326.0,28.16,76534.0,BEV,40030.0,Yes
Netherlands,2015,Chevrolet,"$1,558 ",4303.0,6.22,32414.0,BEV,10200.0,YES
Canada,2019,Kia,"$34,497 ",1045.0,5.3,70554.0,BEV,2239.0,Yes
India,2017,Chevrolet,"$15,898 ",3259.0,10.94,96039.0,PHEV,13115.0,No
Canada,2023,Hyundai,"$40,787 ",4622.0,28.94,90107.0,PHEV,48414.0,Yes
Netherlands,2018,Ford,"$16,004 ",3729.0,26.07,111799.0,HEV,51138.0,YES
China,2021,Ford,"$43,323 ",4450.0,21.0,76213.0,PHEV,48055.0,no
China,2016,Volkswagen,"$47,233 ",3134.0,20.34,75217.0,PHEV,9125.0,yes
China,2016,Renault,"$8,348 ",4793.0,22.82,94498.0,HEV,67024.0,YES
UK,2019,Nissan,"$40,382 ",1357.0,19.86,70547.0,BEV,68203.0,Yes
Norway,2022,Renault,"$26,713 ",4124.0,24.43,101010.0,HEV,26426.0,YES
Netherlands,2021,Chevrolet,"$18,272 ",3722.0,4.49,111008.0,HEV,52924.0,no
Germany,2019,Tesla,"$4,226 ",3157.0,18.69,14334.0,BEV,78714.0,no
UK,2021,Nissan,"$28,644 ",3348.0,18.5,89877.0,PHEV,26537.0,yes
India,2021,Nissan,"$36,257 ",3858.0,12.01,131234.0,BEV,7471.0,YES
Germany,2015,Chevrolet,"$36,131 ",2511.0,27.51,101863.0,BEV,2177.0,No
Germany,2015,BMW,"$28,098 ",3381.0,14.82,102868.0,PHEV,27966.0,Yes
India,2020,Volkswagen,"$25,096 ",416.0,13.5,96063.0,HEV,60182.0,yes
Japan,2024,Volkswagen,"$37,414 ",3864.0,6.72,76064.0,PHEV,47881.0,Yes
Canada,2016,Volkswagen,"$46,913 ",973.0,8.45,141660.0,PHEV,37378.0,no
UK,2020,Volkswagen,"$43,152 ",115.0,18.7,56441.0,PHEV,45976.0,No
Canada,2016,BYD,"$16,893 ",2435.0,11.46,49294.0,HEV,72831.0,No
China,2024,Hyundai,"$36,493 ",4964.0,23.64,93319.0,HEV,37451.0,no
Canada,2024,Renault,"$7,727 ",3283.0,24.48,90298.0,PHEV,66481.0,no
france,2024,Chevrolet,"$3,540 ",1472.0,18.01,68714.0,BEV,27160.0,no
France,2019,BMW,"$27,542 ",997.0,6.98,120200.0,BEV,58993.0,no
UK,2021,BYD,"$21,900 ",779.0,8.96,27258.0,BEV,66108.0,Yes
China,2018,Kia,"$32,996 ",3361.0,4.72,94942.0,PHEV,39467.0,YES
Canada,2021,Volkswagen,"$18,125 ",1135.0,17.77,110427.0,BEV,40532.0,YES
UK,2020,Ford,"$12,823 ",4849.0,19.71,87202.0,BEV,15210.0,Yes
Netherlands,2017,BMW,"$7,204 ",3723.0,20.42,76215.0,BEV,37378.0,YES
India,2018,Chevrolet,"$48,056 ",1878.0,19.41,117966.0,PHEV,26592.0,Yes
UK,2019,Ford,"$29,828 ",1941.0,29.46,41582.0,PHEV,73982.0,No
Canada,2017,Kia,"$37,711 ",4735.0,29.78,101422.0,BEV,42323.0,Yes
Germany,2015,Hyundai,"$19,252 ",295.0,16.11,106209.0,PHEV,57273.0,yes
Germany,2017,Tesla,"$26,842 ",4905.0,4.7,104401.0,HEV,11699.0,Yes
Japan,2017,Chevrolet,"$10,215 ",2795.0,2.83,27378.0,HEV,6782.0,No
USA,2019,Kia,"$23,141 ",1611.0,12.05,59726.0,BEV,31682.0,no
Canada,2023,Tesla,"$43,185 ",1699.0,18.42,134558.0,HEV,66450.0,YES
Canada,2021,Chevrolet,"$10,882 ",4447.0,17.43,102237.0,HEV,62929.0,yes
Germany,2021,Kia,"$22,432 ",1836.0,20.55,68465.0,PHEV,64133.0,no
Canada,2021,Tesla,"$30,119 ",82.0,10.35,55345.0,BEV,7721.0,No
India,2019,Renault,"$21,109 ",2988.0,11.04,77358.0,PHEV,49895.0,yes
Japan,2023,Tesla Inc,"$29,437 ",1995.0,4.84,94746.0,HEV,30984.0,Yes
Canada,2016,BMW,"$49,019 ",2974.0,1.75,66939.0,PHEV,32822.0,No
Canada,2016,Renault,"$47,159 ",4233.0,13.54,125611.0,HEV,75270.0,yes
Netherlands,2020,Volkswagen,"$34,113 ",3613.0,13.75,90212.0,HEV,36262.0,YES
